Date,Rater,Correct Answer 3 Label,Correct Answer 5 Label,Rater Answer 3 Label,Rater Answer 5 Label,Task ID,3-Label Agreement,5-Label Agreement
10-29-2005,B,High,Okay,Average,Great,44,no,no
10-06-2005,B,Average,Intermediate,Low,Intermediate,45,no,yes
10-23-2005,B,High,Intermediate,Low,Okay,46,no,no
10-07-2005,E,Low,Intermediate,High,Okay,47,no,no
10-26-2005,E,Low,Okay,Average,Okay,48,no,yes
10-16-2005,E,Average,Intermediate,High,Intermediate,49,no,yes
10-18-2005,C,High,Bad,Average,Okay,50,no,no
10-21-2005,B,Average,Intermediate,Average,Intermediate,51,yes,yes
10-21-2005,B,Low,Great,Average,Bad,52,no,no
10-20-2005,C,Low,Intermediate,Low,Exceptional,53,yes,no
10-06-2005,C,High,Bad,Low,Intermediate,54,no,no
10-14-2005,E,Average,Exceptional,Low,Intermediate,55,no,no
10-23-2005,C,Low,Great,Low,Bad,56,yes,no
10-03-2005,E,High,Exceptional,Average,Exceptional,57,no,yes
10-13-2005,E,Average,Intermediate,Average,Exceptional,58,yes,no
10-20-2005,E,Low,Okay,Low,Bad,59,yes,no
10-19-2005,A,Average,Intermediate,Low,Bad,60,no,no
10-11-2005,B,Low,Exceptional,Average,Intermediate,61,no,no
10-07-2005,C,High,Intermediate,Average,Bad,62,no,no
10-05-2005,E,Low,Bad,High,Exceptional,63,no,no
10-13-2005,B,High,Bad,Low,Okay,64,no,no
10-16-2005,B,High,Exceptional,Average,Great,65,no,no
10-09-2005,D,Low,Bad,High,Okay,66,no,no
10-11-2005,D,Low,Great,High,Bad,67,no,no
10-19-2005,C,Low,Exceptional,Low,Exceptional,68,yes,yes
10-13-2005,E,Average,Exceptional,High,Okay,69,no,no
10-23-2005,C,Low,Intermediate,High,Intermediate,70,no,yes
10-18-2005,D,Low,Okay,Low,Bad,71,yes,no
10-29-2005,B,Low,Exceptional,High,Okay,72,no,no
10-04-2005,D,Low,Intermediate,High,Okay,73,no,no
10-27-2005,D,Average,Intermediate,Average,Great,74,yes,no
10-05-2005,E,High,Exceptional,Low,Exceptional,75,no,yes
10-14-2005,A,Average,Great,Average,Intermediate,76,yes,no
10-10-2005,A,High,Bad,High,Exceptional,77,yes,no
10-07-2005,E,Low,Intermediate,Low,Exceptional,78,yes,no
10-02-2005,B,Low,Intermediate,Low,Bad,79,yes,no
10-05-2005,A,Low,Bad,High,Intermediate,80,no,no
10-18-2005,C,High,Great,Average,Exceptional,81,no,no
10-06-2005,E,Average,Bad,Average,Great,82,yes,no
10-14-2005,C,High,Exceptional,Average,Exceptional,83,no,yes
10-07-2005,C,High,Great,High,Intermediate,84,yes,no
10-02-2005,A,High,Okay,Average,Bad,85,no,no
10-07-2005,A,High,Exceptional,High,Okay,86,yes,no
10-08-2005,B,Average,Exceptional,High,Bad,87,no,no
10-29-2005,A,High,Okay,High,Bad,88,yes,no
10-24-2005,E,Average,Bad,Low,Great,89,no,no
10-13-2005,D,Low,Intermediate,Low,Okay,90,yes,no
10-02-2005,E,Average,Great,High,Exceptional,91,no,no
10-11-2005,B,Average,Exceptional,Low,Great,92,no,no
10-15-2005,B,High,Exceptional,Low,Intermediate,93,no,no
10-02-2005,E,Low,Intermediate,Average,Bad,94,no,no
10-10-2005,E,Low,Bad,Low,Intermediate,95,yes,no
10-27-2005,B,Average,Okay,Average,Intermediate,96,yes,no
10-13-2005,C,High,Intermediate,Low,Intermediate,97,no,yes
10-05-2005,B,Average,Bad,Low,Exceptional,98,no,no
10-24-2005,A,High,Bad,Low,Bad,99,no,yes
10-09-2005,E,High,Okay,Average,Bad,100,no,no
10-07-2005,E,Average,Great,High,Exceptional,101,no,no
10-06-2005,C,Low,Okay,High,Okay,102,no,yes
10-20-2005,B,Low,Great,Average,Intermediate,103,no,no
10-12-2005,E,High,Bad,High,Intermediate,104,yes,no
10-18-2005,A,Average,Intermediate,Low,Intermediate,105,no,yes
10-21-2005,E,Average,Exceptional,High,Intermediate,106,no,no
10-14-2005,E,High,Okay,Average,Okay,107,no,yes
10-10-2005,E,Low,Great,Low,Intermediate,108,yes,no
10-25-2005,E,High,Great,High,Exceptional,109,yes,no
10-20-2005,A,Average,Great,Average,Intermediate,110,yes,no
10-28-2005,E,Low,Intermediate,Low,Bad,111,yes,no
10-17-2005,E,Average,Intermediate,Low,Okay,112,no,no
10-22-2005,C,Average,Okay,Low,Great,113,no,no
10-12-2005,D,Average,Great,Average,Bad,114,yes,no
10-08-2005,C,High,Great,Average,Bad,115,no,no
10-23-2005,E,Low,Great,Low,Bad,116,yes,no
10-08-2005,E,Low,Okay,Low,Intermediate,117,yes,no
10-19-2005,B,Low,Okay,Average,Bad,118,no,no
10-05-2005,E,Low,Great,High,Bad,119,no,no
10-20-2005,A,Average,Intermediate,Low,Great,120,no,no
10-26-2005,B,Low,Bad,High,Exceptional,121,no,no
10-15-2005,A,Average,Intermediate,Low,Bad,122,no,no
10-06-2005,C,High,Intermediate,High,Okay,123,yes,no
10-29-2005,C,High,Great,Low,Great,124,no,yes
10-18-2005,D,Low,Bad,Average,Bad,125,no,yes
10-23-2005,B,Low,Bad,High,Exceptional,126,no,no
10-07-2005,B,Low,Exceptional,High,Intermediate,127,no,no
10-02-2005,C,Average,Okay,Low,Great,128,no,no
10-10-2005,C,High,Great,Low,Great,129,no,yes
10-01-2005,A,Low,Exceptional,Average,Great,130,no,no
10-22-2005,C,High,Bad,High,Exceptional,131,yes,no
10-17-2005,B,Average,Okay,Low,Great,132,no,no
10-11-2005,D,Average,Bad,Low,Great,133,no,no
10-14-2005,E,High,Okay,Average,Intermediate,134,no,no
10-12-2005,D,High,Bad,Low,Intermediate,135,no,no
10-16-2005,D,Low,Bad,Average,Bad,136,no,yes
10-27-2005,E,High,Great,Average,Bad,137,no,no
10-14-2005,B,Average,Exceptional,Average,Okay,138,yes,no
10-08-2005,A,High,Okay,High,Okay,139,yes,yes
10-24-2005,E,Low,Bad,Low,Great,140,yes,no
10-07-2005,E,Low,Okay,Low,Intermediate,141,yes,no
10-25-2005,A,Low,Okay,High,Exceptional,142,no,no
10-06-2005,C,Low,Great,Low,Bad,143,yes,no
10-10-2005,E,High,Great,High,Bad,144,yes,no
10-13-2005,A,High,Exceptional,Low,Exceptional,145,no,yes
10-29-2005,A,Average,Okay,Average,Bad,146,yes,no
10-29-2005,C,High,Exceptional,Average,Exceptional,147,no,yes
10-16-2005,D,High,Intermediate,Average,Intermediate,148,no,yes
10-18-2005,E,Low,Exceptional,High,Great,149,no,no
10-03-2005,D,High,Bad,High,Exceptional,150,yes,no
10-10-2005,B,Low,Okay,Low,Exceptional,151,yes,no
10-01-2005,A,Average,Okay,Low,Intermediate,152,no,no
10-01-2005,E,Average,Exceptional,Average,Okay,153,yes,no
10-28-2005,B,Average,Great,Average,Bad,154,yes,no
10-01-2005,B,High,Bad,Average,Bad,155,no,yes
10-21-2005,C,Low,Intermediate,High,Intermediate,156,no,yes
10-14-2005,D,Average,Bad,High,Intermediate,157,no,no
10-20-2005,A,Low,Okay,Average,Okay,158,no,yes
10-08-2005,E,Low,Great,High,Okay,159,no,no
10-06-2005,E,High,Intermediate,Low,Okay,160,no,no
10-11-2005,B,Low,Great,Low,Exceptional,161,yes,no
10-26-2005,C,High,Great,Average,Bad,162,no,no
10-02-2005,D,Low,Okay,High,Intermediate,163,no,no
10-13-2005,A,High,Okay,Average,Intermediate,164,no,no
10-08-2005,A,Average,Bad,Low,Exceptional,165,no,no
10-05-2005,E,Average,Okay,High,Intermediate,166,no,no
10-28-2005,A,Low,Okay,Average,Okay,167,no,yes
10-26-2005,B,Average,Bad,High,Great,168,no,no
10-10-2005,D,Average,Great,Low,Intermediate,169,no,no
10-24-2005,B,High,Exceptional,Low,Bad,170,no,no
10-02-2005,D,Average,Okay,Low,Intermediate,171,no,no
10-20-2005,A,Low,Intermediate,Low,Okay,172,yes,no
10-13-2005,D,Average,Great,Average,Intermediate,173,yes,no
10-11-2005,B,High,Intermediate,High,Okay,174,yes,no
10-28-2005,B,High,Bad,Low,Great,175,no,no
10-11-2005,B,High,Intermediate,Average,Exceptional,176,no,no
10-10-2005,A,High,Okay,High,Exceptional,177,yes,no
10-14-2005,B,Low,Exceptional,High,Okay,178,no,no
10-11-2005,B,High,Exceptional,Low,Great,179,no,no
10-02-2005,C,Average,Bad,High,Great,180,no,no
10-02-2005,B,Low,Great,Low,Intermediate,181,yes,no
10-16-2005,E,Low,Bad,Average,Great,182,no,no
10-06-2005,A,High,Intermediate,High,Great,183,yes,no
10-09-2005,A,Average,Bad,High,Great,184,no,no
10-14-2005,A,Average,Bad,Average,Great,185,yes,no
10-17-2005,D,Average,Bad,High,Great,186,no,no
10-06-2005,A,High,Bad,Low,Bad,187,no,yes
10-01-2005,A,Average,Bad,Low,Okay,188,no,no
10-12-2005,E,Average,Exceptional,Low,Intermediate,189,no,no
10-02-2005,D,High,Great,Average,Intermediate,190,no,no
10-10-2005,A,Average,Bad,High,Great,191,no,no
10-17-2005,A,Average,Intermediate,High,Bad,192,no,no
10-17-2005,A,Low,Bad,High,Bad,193,no,yes
10-07-2005,E,High,Okay,Low,Intermediate,194,no,no
10-27-2005,A,High,Great,High,Exceptional,195,yes,no
10-07-2005,A,Average,Okay,Low,Intermediate,196,no,no
10-06-2005,C,Low,Okay,High,Bad,197,no,no
10-22-2005,B,Average,Okay,Average,Bad,198,yes,no
10-16-2005,E,Average,Great,High,Intermediate,199,no,no
10-15-2005,C,Average,Exceptional,High,Intermediate,200,no,no
10-26-2005,C,High,Great,High,Bad,201,yes,no
10-24-2005,B,High,Exceptional,High,Intermediate,202,yes,no
10-11-2005,C,High,Bad,High,Exceptional,203,yes,no
10-15-2005,B,Low,Exceptional,High,Exceptional,204,no,yes
10-01-2005,C,Low,Great,Low,Great,205,yes,yes
10-15-2005,B,Low,Exceptional,Low,Exceptional,206,yes,yes
10-13-2005,E,Average,Okay,Average,Great,207,yes,no
10-24-2005,E,High,Exceptional,Low,Great,208,no,no
10-05-2005,D,Average,Intermediate,High,Intermediate,209,no,yes
10-04-2005,C,High,Intermediate,High,Bad,210,yes,no
10-28-2005,D,Average,Bad,High,Okay,211,no,no
10-02-2005,C,Low,Intermediate,High,Intermediate,212,no,yes
10-18-2005,A,Low,Bad,High,Exceptional,213,no,no
10-10-2005,E,High,Exceptional,High,Exceptional,214,yes,yes
10-29-2005,D,Low,Intermediate,High,Intermediate,215,no,yes
10-27-2005,A,High,Bad,Low,Okay,216,no,no
10-04-2005,C,Average,Intermediate,Low,Exceptional,217,no,no
10-04-2005,D,Average,Great,High,Okay,218,no,no
10-15-2005,E,Low,Intermediate,Average,Bad,219,no,no
10-15-2005,A,Average,Intermediate,High,Exceptional,220,no,no
10-24-2005,D,Low,Exceptional,Average,Great,221,no,no
10-28-2005,B,Low,Bad,Average,Great,222,no,no
10-19-2005,C,High,Bad,Low,Great,223,no,no
10-22-2005,A,High,Great,Low,Great,224,no,yes
10-07-2005,D,Low,Bad,Low,Great,225,yes,no
10-21-2005,E,Average,Great,Low,Great,226,no,yes
10-23-2005,D,Low,Exceptional,Average,Great,227,no,no
10-18-2005,B,Low,Bad,Average,Bad,228,no,yes
10-21-2005,E,Low,Bad,High,Great,229,no,no
10-10-2005,B,Average,Okay,Low,Exceptional,230,no,no
10-12-2005,A,Average,Exceptional,Low,Bad,231,no,no
10-13-2005,E,High,Exceptional,Low,Bad,232,no,no
10-12-2005,B,High,Exceptional,Low,Intermediate,233,no,no
10-25-2005,D,Low,Bad,Low,Bad,234,yes,yes
10-25-2005,D,High,Intermediate,Average,Okay,235,no,no
10-25-2005,C,Low,Okay,Low,Bad,236,yes,no
10-14-2005,C,High,Great,Average,Intermediate,237,no,no
10-24-2005,B,Average,Intermediate,Average,Okay,238,yes,no
10-15-2005,C,High,Bad,Low,Exceptional,239,no,no
10-01-2005,D,Average,Okay,High,Exceptional,240,no,no
10-18-2005,B,Low,Intermediate,Low,Exceptional,241,yes,no
10-27-2005,D,High,Exceptional,Low,Intermediate,242,no,no
10-22-2005,C,High,Bad,High,Bad,243,yes,yes
10-07-2005,A,High,Bad,Low,Great,244,no,no
10-18-2005,D,High,Bad,Low,Bad,245,no,yes
10-10-2005,C,High,Intermediate,High,Great,246,yes,no
10-20-2005,B,Low,Intermediate,Low,Intermediate,247,yes,yes
10-04-2005,B,High,Exceptional,High,Okay,248,yes,no
10-23-2005,E,Low,Okay,Low,Exceptional,249,yes,no
10-17-2005,E,High,Great,Average,Exceptional,250,no,no
10-21-2005,D,Average,Bad,Low,Okay,251,no,no
10-15-2005,A,Low,Okay,High,Great,252,no,no
10-06-2005,D,Low,Intermediate,High,Bad,253,no,no
10-27-2005,C,Average,Okay,Low,Exceptional,254,no,no
10-09-2005,E,Average,Okay,Average,Great,255,yes,no
10-19-2005,D,Average,Intermediate,High,Exceptional,256,no,no
10-03-2005,D,High,Intermediate,Average,Okay,257,no,no
10-09-2005,D,Average,Bad,High,Bad,258,no,yes
10-02-2005,D,Low,Great,Average,Bad,259,no,no
10-03-2005,B,Average,Okay,Average,Bad,260,yes,no
10-20-2005,A,High,Great,Low,Okay,261,no,no
10-13-2005,B,High,Bad,Average,Exceptional,262,no,no
10-22-2005,E,High,Intermediate,Low,Exceptional,263,no,no
10-20-2005,B,High,Great,Low,Exceptional,264,no,no
10-10-2005,D,High,Great,Low,Intermediate,265,no,no
10-27-2005,B,High,Intermediate,High,Great,266,yes,no
10-24-2005,C,High,Great,High,Bad,267,yes,no
10-13-2005,E,Low,Exceptional,Average,Okay,268,no,no
10-06-2005,C,High,Okay,High,Great,269,yes,no
10-27-2005,D,Low,Okay,Average,Bad,270,no,no
10-07-2005,C,High,Exceptional,High,Intermediate,271,yes,no
10-19-2005,D,Low,Intermediate,Average,Okay,272,no,no
10-13-2005,D,Average,Bad,Low,Great,273,no,no
10-13-2005,B,Low,Great,High,Okay,274,no,no
10-04-2005,E,Average,Great,Average,Exceptional,275,yes,no
10-02-2005,C,High,Bad,High,Great,276,yes,no
10-16-2005,E,Average,Intermediate,Average,Bad,277,yes,no
10-20-2005,A,Low,Okay,High,Okay,278,no,yes
10-26-2005,C,Low,Intermediate,Low,Great,279,yes,no
10-06-2005,C,High,Intermediate,Average,Intermediate,280,no,yes
10-07-2005,A,High,Intermediate,High,Intermediate,281,yes,yes
10-11-2005,B,Low,Bad,High,Intermediate,282,no,no
10-12-2005,A,High,Okay,High,Bad,283,yes,no
10-09-2005,D,High,Great,High,Okay,284,yes,no
10-26-2005,A,High,Okay,High,Great,285,yes,no
10-24-2005,B,High,Intermediate,Low,Great,286,no,no
10-23-2005,A,High,Bad,Average,Okay,287,no,no
10-24-2005,C,High,Great,Average,Exceptional,288,no,no
10-26-2005,E,Low,Bad,High,Great,289,no,no
10-24-2005,B,Low,Bad,Low,Intermediate,290,yes,no
10-18-2005,E,High,Bad,Average,Okay,291,no,no
10-13-2005,E,Average,Okay,Low,Great,292,no,no
10-24-2005,E,Average,Exceptional,High,Intermediate,293,no,no
10-01-2005,E,Low,Great,Average,Great,294,no,yes
10-05-2005,D,High,Exceptional,Low,Bad,295,no,no
10-21-2005,A,Average,Okay,Low,Intermediate,296,no,no
10-29-2005,E,Low,Exceptional,Low,Exceptional,297,yes,yes
10-10-2005,E,Low,Intermediate,Low,Okay,298,yes,no
10-06-2005,A,Low,Okay,High,Intermediate,299,no,no
10-12-2005,D,High,Intermediate,High,Bad,300,yes,no
10-09-2005,D,Low,Intermediate,High,Exceptional,301,no,no
10-26-2005,D,Average,Exceptional,High,Exceptional,302,no,yes
10-03-2005,D,Low,Intermediate,High,Intermediate,303,no,yes
10-06-2005,E,Average,Bad,High,Exceptional,304,no,no
10-15-2005,D,Average,Great,High,Great,305,no,yes
10-28-2005,A,Low,Intermediate,Low,Intermediate,306,yes,yes
10-12-2005,B,High,Bad,High,Intermediate,307,yes,no
10-04-2005,D,High,Intermediate,Low,Exceptional,308,no,no
10-24-2005,B,Average,Bad,High,Intermediate,309,no,no
10-01-2005,B,Low,Exceptional,High,Bad,310,no,no
10-22-2005,A,Average,Bad,Average,Great,311,yes,no
10-28-2005,E,High,Bad,Average,Bad,312,no,yes
10-13-2005,C,Average,Bad,High,Bad,313,no,yes
10-02-2005,E,Average,Okay,Average,Great,314,yes,no
10-17-2005,D,High,Okay,Average,Okay,315,no,yes
10-20-2005,B,High,Exceptional,Low,Exceptional,316,no,yes
10-19-2005,E,Average,Great,High,Intermediate,317,no,no
10-07-2005,C,Low,Bad,High,Great,318,no,no
10-17-2005,E,Low,Bad,Average,Great,319,no,no
10-05-2005,C,Average,Exceptional,Average,Exceptional,320,yes,yes
10-17-2005,E,Low,Bad,Low,Great,321,yes,no
10-11-2005,A,Low,Great,Low,Bad,322,yes,no
10-03-2005,B,Low,Intermediate,Average,Intermediate,323,no,yes
10-09-2005,A,Average,Okay,Low,Okay,324,no,yes
10-22-2005,E,Low,Great,Average,Okay,325,no,no
10-07-2005,E,High,Bad,Low,Intermediate,326,no,no
10-05-2005,B,Average,Intermediate,High,Exceptional,327,no,no
10-07-2005,E,Low,Great,Average,Bad,328,no,no
10-14-2005,B,Low,Bad,Average,Okay,329,no,no
10-23-2005,E,Average,Okay,Low,Bad,330,no,no
10-24-2005,D,Average,Okay,High,Intermediate,331,no,no
10-25-2005,B,Average,Bad,Low,Great,332,no,no
10-16-2005,A,Low,Exceptional,High,Exceptional,333,no,yes
10-19-2005,C,High,Bad,High,Exceptional,334,yes,no
10-02-2005,D,High,Okay,Low,Bad,335,no,no
10-06-2005,D,Low,Great,Average,Exceptional,336,no,no
10-05-2005,A,Low,Intermediate,High,Bad,337,no,no
10-11-2005,A,Average,Intermediate,High,Intermediate,338,no,yes
10-19-2005,C,Average,Great,Low,Intermediate,339,no,no
10-27-2005,B,Average,Exceptional,High,Exceptional,340,no,yes
10-02-2005,C,Average,Great,Low,Bad,341,no,no
10-13-2005,B,Low,Great,High,Great,342,no,yes
10-28-2005,C,Average,Bad,High,Great,343,no,no
10-05-2005,A,Low,Great,Low,Intermediate,344,yes,no
10-26-2005,C,Average,Exceptional,High,Bad,345,no,no
10-17-2005,D,Average,Bad,Average,Okay,346,yes,no
10-06-2005,E,Average,Exceptional,Average,Great,347,yes,no
10-10-2005,D,High,Intermediate,High,Exceptional,348,yes,no
10-07-2005,C,High,Intermediate,Low,Great,349,no,no
10-22-2005,B,Low,Bad,Average,Bad,350,no,yes
10-12-2005,E,High,Exceptional,High,Intermediate,351,yes,no
10-18-2005,B,Low,Intermediate,Low,Okay,352,yes,no
10-29-2005,E,Low,Okay,Average,Exceptional,353,no,no
10-16-2005,D,High,Okay,High,Okay,354,yes,yes
10-10-2005,A,High,Bad,High,Exceptional,355,yes,no
10-04-2005,C,High,Bad,Low,Bad,356,no,yes
10-26-2005,E,High,Okay,Low,Okay,357,no,yes
10-23-2005,A,Low,Intermediate,Average,Intermediate,358,no,yes
10-22-2005,A,Low,Okay,Low,Great,359,yes,no
10-06-2005,B,Low,Intermediate,High,Great,360,no,no
10-23-2005,A,High,Exceptional,Low,Exceptional,361,no,yes
10-09-2005,D,Low,Okay,High,Great,362,no,no
10-20-2005,B,Average,Intermediate,Low,Great,363,no,no
10-28-2005,B,High,Intermediate,Average,Intermediate,364,no,yes
10-04-2005,D,High,Bad,Low,Intermediate,365,no,no
10-27-2005,A,Low,Intermediate,Average,Exceptional,366,no,no
10-24-2005,E,Average,Bad,High,Bad,367,no,yes
10-20-2005,A,High,Bad,Average,Intermediate,368,no,no
10-12-2005,D,Low,Bad,Low,Bad,369,yes,yes
10-27-2005,B,Average,Exceptional,High,Okay,370,no,no
10-18-2005,D,High,Intermediate,High,Exceptional,371,yes,no
10-14-2005,A,High,Intermediate,High,Bad,372,yes,no
10-01-2005,C,Low,Exceptional,Average,Great,373,no,no
10-27-2005,A,High,Okay,High,Great,374,yes,no
10-28-2005,A,High,Bad,Low,Bad,375,no,yes
10-24-2005,C,Low,Exceptional,Average,Exceptional,376,no,yes
10-09-2005,C,Low,Great,High,Great,377,no,yes
10-21-2005,B,Average,Intermediate,High,Exceptional,378,no,no
10-21-2005,E,Low,Great,High,Okay,379,no,no
10-24-2005,A,Low,Great,High,Intermediate,380,no,no
10-19-2005,E,Average,Bad,Low,Exceptional,381,no,no
10-04-2005,A,High,Okay,Average,Exceptional,382,no,no
10-29-2005,E,Average,Okay,Average,Intermediate,383,yes,no
10-28-2005,A,High,Bad,High,Okay,384,yes,no
10-25-2005,A,Low,Okay,Average,Okay,385,no,yes
10-16-2005,B,Low,Bad,Low,Bad,386,yes,yes
10-25-2005,D,High,Exceptional,Low,Intermediate,387,no,no
10-04-2005,D,Low,Great,Low,Okay,388,yes,no
10-16-2005,E,Average,Bad,High,Okay,389,no,no
10-25-2005,B,Average,Exceptional,High,Okay,390,no,no
10-02-2005,E,Average,Okay,High,Intermediate,391,no,no
10-04-2005,D,High,Intermediate,High,Great,392,yes,no
10-01-2005,D,Low,Bad,Low,Great,393,yes,no
10-11-2005,E,Low,Great,Average,Exceptional,394,no,no
10-24-2005,B,Low,Great,Average,Great,395,no,yes
10-07-2005,D,High,Exceptional,Average,Okay,396,no,no
10-25-2005,E,Low,Exceptional,High,Bad,397,no,no
10-29-2005,B,Average,Exceptional,Low,Great,398,no,no
10-17-2005,C,Average,Great,Average,Bad,399,yes,no
10-12-2005,B,Low,Bad,Average,Great,400,no,no
10-02-2005,B,High,Bad,Average,Great,401,no,no
10-22-2005,A,High,Intermediate,Low,Exceptional,402,no,no
10-15-2005,B,High,Exceptional,High,Exceptional,403,yes,yes
10-07-2005,B,Low,Exceptional,Low,Intermediate,404,yes,no
10-24-2005,A,High,Intermediate,Average,Great,405,no,no
10-22-2005,E,High,Okay,Average,Intermediate,406,no,no
10-01-2005,B,High,Great,Average,Intermediate,407,no,no
10-04-2005,C,High,Intermediate,Low,Intermediate,408,no,yes
10-07-2005,C,High,Bad,Average,Intermediate,409,no,no
10-15-2005,A,Average,Great,Low,Intermediate,410,no,no
10-05-2005,A,Low,Okay,High,Intermediate,411,no,no
10-22-2005,B,Low,Intermediate,Average,Intermediate,412,no,yes
10-15-2005,E,Low,Exceptional,Average,Bad,413,no,no
10-10-2005,B,High,Okay,Low,Intermediate,414,no,no
10-19-2005,C,Average,Intermediate,Average,Exceptional,415,yes,no
10-16-2005,E,High,Bad,High,Okay,416,yes,no
10-17-2005,D,High,Bad,High,Great,417,yes,no
10-17-2005,E,Average,Okay,Average,Bad,418,yes,no
10-14-2005,A,Average,Okay,Average,Exceptional,419,yes,no
10-01-2005,E,Average,Great,High,Great,420,no,yes
10-20-2005,B,Low,Great,High,Okay,421,no,no
10-02-2005,B,Average,Okay,High,Great,422,no,no
10-09-2005,D,Average,Exceptional,Low,Bad,423,no,no
10-26-2005,B,Average,Great,Low,Intermediate,424,no,no
10-04-2005,C,High,Okay,High,Great,425,yes,no
10-15-2005,C,High,Intermediate,Low,Exceptional,426,no,no
10-07-2005,C,Low,Exceptional,High,Intermediate,427,no,no
10-20-2005,C,Low,Okay,High,Exceptional,428,no,no
10-13-2005,E,High,Bad,Low,Okay,429,no,no
10-07-2005,A,Low,Great,Low,Okay,430,yes,no
10-10-2005,B,Average,Great,High,Intermediate,431,no,no
10-12-2005,A,High,Intermediate,High,Exceptional,432,yes,no
10-18-2005,B,Average,Okay,Average,Exceptional,433,yes,no
10-21-2005,C,High,Intermediate,Average,Great,434,no,no
10-02-2005,B,High,Exceptional,Low,Okay,435,no,no
10-01-2005,D,Low,Exceptional,Low,Okay,436,yes,no
10-28-2005,A,Low,Great,High,Intermediate,437,no,no
10-20-2005,E,High,Bad,Low,Great,438,no,no
10-17-2005,D,Low,Exceptional,Average,Bad,439,no,no
10-24-2005,D,Average,Exceptional,Average,Great,440,yes,no
10-11-2005,D,High,Bad,High,Bad,441,yes,yes
10-09-2005,D,High,Great,Average,Bad,442,no,no
10-26-2005,B,Average,Intermediate,Average,Exceptional,443,yes,no
10-03-2005,A,Average,Great,Average,Exceptional,444,yes,no
10-23-2005,E,High,Bad,Average,Great,445,no,no
10-12-2005,C,High,Bad,Low,Intermediate,446,no,no
10-05-2005,A,Low,Intermediate,Low,Exceptional,447,yes,no
10-16-2005,E,Low,Intermediate,Low,Intermediate,448,yes,yes
10-02-2005,C,Low,Okay,Low,Bad,449,yes,no
10-28-2005,B,Average,Okay,High,Bad,450,no,no
10-09-2005,B,High,Great,Low,Exceptional,451,no,no
10-09-2005,D,Low,Great,High,Intermediate,452,no,no
10-29-2005,C,High,Okay,Average,Great,453,no,no
10-05-2005,D,Low,Intermediate,Low,Exceptional,454,yes,no
10-20-2005,E,High,Great,Low,Bad,455,no,no
10-20-2005,A,High,Great,Low,Okay,456,no,no
10-21-2005,E,Average,Okay,Low,Exceptional,457,no,no
10-17-2005,D,High,Okay,High,Bad,458,yes,no
10-24-2005,C,Average,Great,Low,Exceptional,459,no,no
10-18-2005,E,Average,Okay,High,Great,460,no,no
